INSTNM,ADM_RATE,NPT4_048_PUB,NPT4_048_PRIV,COSTT4_A,PCTPELL,C150_4,PCTFLOAN,CDR3,GRAD_DEBT_MDN,md_faminc,md_earn_wne_p10
Henderson State University,0.6221,7947,NULL,18033,0.5296,0.2854,0.5985,15.4,20191,32258,35200
Hendrix College,0.8039,NULL,18160,50172,0.1792,0.6959,0.4487,6.6,24924,80333,40500
Hot Springs Beauty College,NULL,NULL,8739,NULL,0.5616,NULL,0.2877,23,4000,19121.5,14000
Jefferson Regional Medical Center School of Nursing,NULL,NULL,NULL,NULL,0.6471,NULL,0.6134,13.5,16246,23823,NULL
John Brown University,0.6982,NULL,13881,33326,0.3184,0.6537,0.5333,4.8,22500,53841.5,46200
Lees School of Cosmetology,NULL,NULL,12018,NULL,0.6486,NULL,0.4865,12.1,NULL,12996,NULL
Career Academy of Hair Design,NULL,NULL,14782,NULL,0.4813,NULL,0.5332,8.8,9855,13910,NULL
Career Academy of Hair Design-Siloam Springs,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,9855,NULL,NULL
Career Academy of Hair Design-Rogers,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,9855,NULL,NULL
Career Academy of Hair Design-Fayetteville,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.8,9855,NULL,NULL
Marsha Kay Beauty College,NULL,NULL,6284,NULL,0.9583,NULL,0,NULL,NULL,9165,NULL
Academy of Salon and Spa,NULL,NULL,15593,NULL,0.6746,NULL,0.619,6.1,9500,13864.5,NULL
Mid-South Community College,NULL,10080,NULL,13105,0.5818,NULL,0,0,NULL,16551,21800
Arkansas Northeastern College,NULL,6604,NULL,12538,0.5018,NULL,0,22.3,3062.5,17126,22500
Margaret's Hair Academy Inc,NULL,NULL,10871,NULL,0.9634,NULL,0.5854,3.4,4786,10781.5,NULL
New Tyler Barber College Inc,NULL,NULL,12681,NULL,0.6129,NULL,0.3978,16,9500,10693,13400
North Arkansas College,NULL,3849,NULL,9463,0.6147,NULL,0.2661,24.5,11500,17775.5,25500
Northwest Technical Institute,NULL,7075,NULL,8855,0.2137,NULL,0,0,NULL,15520,27800
Ouachita Baptist University,0.7011,NULL,13481,31473,0.2702,0.6022,0.5033,6.6,23500,71658,37500
College of the Ouachitas,NULL,8227,NULL,12215,0.3697,NULL,0.199,16.9,9250,22925.5,24100
Ozarka College,NULL,5941,NULL,11364,0.7091,NULL,0.4618,23.1,12750,16184,25200
University of the Ozarks,0.6136,NULL,13337,34532,0.3906,0.4831,0.4826,15.5,24000,44123,31100
University of Arkansas Community College-Morrilton,0.5838,6144,NULL,11593,0.672,NULL,0.4113,15.8,9500,20671,25600
Philander Smith College,NULL,NULL,18903,24877,0.7282,0.4462,0.8784,16.4,31000,21262,26200
Phillips Community College of the University of Arkansas,NULL,10838,NULL,16140,0.396,NULL,0.0354,17.6,NULL,14807,21200
Southeast Arkansas College,NULL,4875,NULL,9672,0.5864,NULL,0.7236,26.3,8300,17227,26700
Professional Cosmetology Education Center,NULL,NULL,7502,NULL,0.7077,NULL,0.8462,11.1,10798,14072,NULL
Pulaski Technical College,NULL,13096,NULL,17064,0.5737,NULL,0.6226,22.7,22862.5,19631,28700
University of Arkansas Community College-Hope,NULL,8283,NULL,14349,0.619,NULL,0.0368,28.3,4500,18263,23000
Rich Mountain Community College,NULL,4377,NULL,10415,0.3892,NULL,0,0,NULL,14707,21300
Paul Mitchell the School-Arkansas,NULL,NULL,20202,NULL,0.4392,NULL,0.6419,22,9833,17511.5,NULL
Searcy Beauty College Inc,NULL,NULL,15138,NULL,0.4621,NULL,0.4924,9.3,7600,12367,11100
Shorter College,NULL,NULL,4883,7500,0.75,NULL,0.7115,0,NULL,NULL,NULL
Williams Baptist College,0.6798,NULL,10177,22330,0.5265,0.3985,0.6307,12.8,19000,39189,32300
South Arkansas Community College,NULL,12407,NULL,17675,0.51,NULL,0.4018,21.9,11000,17973.5,26100
Southern Arkansas University Main Campus,0.6081,6941,NULL,17738,0.5152,0.2973,0.5054,18.1,17216.5,27662,35900
Southern Arkansas University Tech,NULL,10058,NULL,16258,0.322,NULL,0.2262,27.6,5500,21269.5,26800
Velvatex College of Beauty Culture,NULL,NULL,959,NULL,0.52,NULL,0,0,NULL,10966,NULL
University of Arkansas-Fort Smith,0.5736,6471,NULL,14335,0.5053,0.2291,0.4018,25.1,17432,25892,29900
Academy of Art University,NULL,NULL,28554,34512,0.4242,0.3188,0.5957,15.5,34000,37597,36100
ITT Technical Institute-Rancho Cordova,0.3845,NULL,21728,26209,0.662,0.4167,0.7816,22.4,25833.5,29467.5,38400
Academy of Chinese Culture and Health Sciences,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.3,NULL,NULL,NULL
The Academy of Radio and TV Broadcasting,NULL,NULL,18866,NULL,0.8228,NULL,0.8987,20.3,9500,19742,28500
Avalon School of Cosmetology-Alameda,NULL,NULL,12608,NULL,0.7865,NULL,0.809,14.1,11944,0,16200
College of Alameda,NULL,3873,NULL,10251,0.2203,NULL,0.0111,18.7,NULL,10203.5,34300
Allan Hancock College,NULL,4896,NULL,10735,0.2424,NULL,0.0227,27.9,9500,18901.5,29500
American Academy of Dramatic Arts-Los Angeles,0.1479,NULL,39197,51197,0.4163,NULL,0.5701,13,13240,43164,30200
American Baptist Seminary of the West,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16.6,NULL,NULL,NULL
American Film Institute Conservatory,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,NULL,NULL,NULL
American Beauty College,NULL,NULL,11860,NULL,0.8258,NULL,0.6516,0,4166,NULL,NULL
American Career College-Los Angeles,NULL,NULL,25700,NULL,0.7065,NULL,0.534,7.4,9500,15660,29800
American Conservatory Theater,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.3,NULL,6272,NULL
American River College,NULL,6426,NULL,12311,0.2858,NULL,0.0686,25,11407.5,10705,27600
Everest College-Hayward,NULL,NULL,25958,NULL,0.7023,NULL,0.4936,26.5,9500,14367.5,21400
Antelope Valley College,NULL,5395,NULL,11430,0.5111,NULL,0.1692,26.9,15000,10738,27000
Art Center College of Design,0.8167,NULL,40645,56400,0.3687,0.6436,0.5106,7.2,36187,28815,51700
Associated Technical College-Los Angeles,NULL,NULL,18346,NULL,0.6992,NULL,0.3074,31.5,9000,11123.5,21900
Associated Technical College-San Diego,NULL,NULL,20129,NULL,0.9834,NULL,0.9448,18.3,9500,0,19500
Azusa Pacific University,0.7985,NULL,24083,44021,0.2858,0.6486,0.5697,4.1,25000,72335.5,49000
Bakersfield College,NULL,2898,NULL,8732,0.3905,NULL,0.0401,27.7,13388,15755,29700
Barstow Community College,NULL,9214,NULL,14930,0.4941,NULL,0,0,NULL,14594.5,31800
Bellus Academy-National City,NULL,NULL,20914,NULL,0.5461,NULL,0.6246,12.9,16772.5,19508,14800
Bethesda University of California,0.8321,NULL,6914,11741,0.75,0.7826,0.3906,6.6,NULL,21813.5,NULL
Biola University,0.7286,NULL,26084,44573,0.3103,0.6819,0.7762,2.2,23969,71594,40700
Brooks Institute,0.98,NULL,27414,32699,0.4281,0.3654,0.6944,12.6,31000,51937.5,29100
Brownson Technical School,NULL,NULL,20600,NULL,0.795,NULL,0.7823,5,9392,21701,NULL
Bryan University,NULL,NULL,15107,24818,0.5886,0.0638,0.8403,3,20000,34515,42300
Butte College,NULL,5212,NULL,11493,0.4933,NULL,0.1393,26,13500,14660,29800
Phillips Graduate Institute,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.4,NULL,NULL,NULL
California Institute of Integral Studies,NULL,NULL,NULL,NULL,0.5699,NULL,0.828,5.4,18750,25628,NULL
Cabrillo College,NULL,6841,NULL,12665,0.2477,NULL,0.0367,17.4,15406,15360,32100
California Baptist University,0.788,NULL,21188,39026,0.4777,0.5808,0.7734,6.7,27686.5,63947,41800
California College of the Arts,0.8157,NULL,25114,53837,0.3241,0.6183,0.5304,6.7,27000,37618,35700
University of California-Hastings College of Law,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,NULL,12935,107900
California Institute of Technology,0.1055,NULL,8918,56382,0.1063,0.9307,0.2508,0,18348.5,53201,74000
California Lutheran University,0.4802,NULL,21984,48630,0.2578,0.7005,0.556,3.8,23000,76461,52900
California Polytechnic State University-San Luis Obispo,0.3123,10654,NULL,23867,0.1975,0.6972,0.3482,3.1,19500,72114,60900
